Job Title,Company Name,Exp,Number of opening,Location,Link,Job Category
Senior Data Engineer,Schneider Electric,3,1,Bangalore,https://www.shine.com/jobs/senior-data-engineer-permanent/schneider-electric/12515864,Data Engineer
TechM97510 - Azure Data Engineer ( Gen1 ),Arminus,2,1,Bangalore,https://www.shine.com/jobs/techm-azure-data-engineer-gen1-permanent/arminus/12512342,Data Engineer
Data Scientist (Manager I) Fraud & Credit Risk,Fiserv India Pvt. Ltd.,1,1,Thane,https://www.shine.com/jobs/data-scientist-manager-i-fraud-credit-risk-permanent/fiserv-india-pvt-ltd/12500234,Data Scientist
Data Analyst Trainer opening - Thane,Quastech.,1,1,"Navi Mumbai+2Thane, Mumbai City",https://www.shine.com/jobs/data-analyst-trainer-opening-thane-permanent/quastech/12508584,Data Analyst
Capgemini is pleased to invite you for the role of GCP  ...,CAPGEMINI TECHNOLOGY SERVICES INDIA...,4,10,"Bangalore+8Noida, Chennai, Hyderabad, Gurugram, Kolkata, Pune, Mumbai City, Delhi",https://www.shine.com/jobs/capgemini-is-pleased-to-invite-you-for-the-role-of-gcp-data-engineer-permanent/capgemini-technology-services-india-limited/12513295,Other
(Junior) Data Scientist Financial Planning and Reportin ...,Linde plc,3,1,Kolkata,https://www.shine.com/jobs/junior-data-scientist-financial-planning-and-reporting-permanent/linde-plc/12503040,Data Scientist
Senior Python Developer,Angel and Genie,5,1,All India,https://www.shine.com/jobs/senior-python-developer-work-from-home/angel-and-genie/12504952,Python Developer
Data Engineer II - Big Data,JPMorgan,3,1,Mumbai City,https://www.shine.com/jobs/data-engineer-ii-big-data-permanent/jpmorgan/12514299,Data Engineer
Data  Analyst,Gaurangi Consultants Hiring For Dat...,0,19,"Noida+2Gurugram, Delhi",https://www.shine.com/jobs/data-analyst-permanent/gaurangi-consultants/12502830,Data Analyst
Data Analyst/Data Science/ Power BI Trainer,BAANYAN SOFTTECH SERVICES INDIA PRI...,6,1,Hyderabad,https://www.shine.com/jobs/data-analystdata-science-power-bi-trainer-permanent/baanyan-softtech-services-india-private-limited/12487504,Data Analyst
Sr. Python Developer,EDU ANGELS INDIA PRIVATE LIMITED,5,4,Mumbai City,https://www.shine.com/jobs/sr-python-developer-permanent/edu-angels-india-private-limited/12500702,Python Developer
Reference Data Analyst,JPMorgan,3,1,Bangalore,https://www.shine.com/jobs/reference-data-analyst-permanent/jpmorgan/12515428,Data Analyst
Data Engineer,Rosemallow Technologies Pvt. Ltd.,3,2,"Bangalore+5Chennai, Hyderabad, Gurugram, Kolkata, Delhi",https://www.shine.com/jobs/data-engineer-work-from-home/rosemallow-technologies-pvt-ltd/12506809,Data Engineer
Senior Data Scientist,MMSH Clinical Research Pvt Ltd,3,1,Hyderabad,https://www.shine.com/jobs/senior-data-scientist-permanent/mmsh-clinical-research-pvt-ltd/12502623,Data Scientist
Apply for Senior AI Data Scientist-Reputed IT Industry,Seven Consultancy,5,1,Mumbai City,https://www.shine.com/jobs/apply-for-senior-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12500587,Data Scientist
Req.  For  Data Analyst-Reputed Data Analytics Industry,Seven Consultancy,3,1,Hyderabad,https://www.shine.com/jobs/req-jobs-for-data-analyst-reputed-data-analytics-industry-permanent/seven-consultancy/12493054,Data Analyst
Req.  For- Data Scientist-Reputed IT Industry-Chennai,Seven Consultancy,3,1,Chennai,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-it-industry-chennai-permanent/seven-consultancy/12498785,Data Scientist
We have opening AI Data Scientist,Seven Consultancy,8,1,Hyderabad,https://www.shine.com/jobs/we-have-opening-ai-data-scientist-permanent/seven-consultancy/12493472,Data Scientist
 For Senior Data Scientist-Reputed IT Industry,Seven Consultancy,4,1,Bangalore,https://www.shine.com/jobs/jobs-for-senior-data-scientist-reputed-it-industry-permanent/seven-consultancy/12499339,Data Scientist
Data Analyst,GT Solusn,5,10,Jaipur,https://www.shine.com/jobs/data-analyst-permanent/gt-solusn/12508095,Data Analyst
 for Senior AI Data Scientist,Seven Consultancy,4,1,Bangalore,https://www.shine.com/jobs/jobs-for-senior-ai-data-scientist-permanent/seven-consultancy/12500843,Data Scientist
Req. now for Data Engineer,Arminus,3,1,Gurugram,https://www.shine.com/jobs/req-now-for-data-engineer-permanent/arminus/12517296,Data Engineer
Client Data Analyst,JPMorgan,2,1,Hyderabad,https://www.shine.com/jobs/client-data-analyst-permanent/jpmorgan/12514714,Data Analyst
Lead Software Engineer- Data,JPMorgan,4,1,Bangalore,https://www.shine.com/jobs/lead-software-engineer-data-permanent/jpmorgan/12514177,Data Engineer
 For Senior Data Scientist-Reputed IT Industry,Seven Consultancy,4,1,Delhi,https://www.shine.com/jobs/jobs-for-senior-data-scientist-reputed-it-industry-permanent/seven-consultancy/12498116,Data Scientist
Manager - Data Scientist,Gilbarco,2,1,Bangalore,https://www.shine.com/jobs/manager-data-scientist-permanent/gilbarco/12497471,Data Scientist
Instrument Reference Data Analyst - Team Leader analyst,JPMorgan,4,1,Mumbai City,https://www.shine.com/jobs/instrument-reference-data-analyst-team-leader-analyst-permanent/jpmorgan/12512633,Data Analyst
Data Scientist Internship at Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,0,9,"Nashik+8Kalyan, Kharghar, Navi Mumbai, Ratnagiri, Thane, Mumbai City, Dombivali, Panvel",https://www.shine.com/jobs/data-scientist-internship-at-mumbai-internship/maxgen-technologies-private-limited/12506729,Data Scientist
